,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Industrial Technology (ICIT),2018,[Front cover],Front cover,Dynamics,
2,IEEE International Conference on Industrial Technology (ICIT),2018,ICIT 2018 organizing committees,Icit 2018 organizing committees,Dynamics,
3,IEEE International Conference on Industrial Technology (ICIT),2018,Technical program reviewers,Technical program reviewers,Dynamics,
4,IEEE International Conference on Industrial Technology (ICIT),2018,Invited speakers,Invited speakers,Dynamics,
5,IEEE International Conference on Industrial Technology (ICIT),2018,"TT Control Systems, Robotics and Mechatronics",Tt control systems,Robotics,
6,IEEE International Conference on Industrial Technology (ICIT),2018,A hybrid strategy for robot navigation in semi-structured environments,Structured environments,Robotics,
7,IEEE International Conference on Industrial Technology (ICIT),2018,A study of acceleration control system via industrial motion network,Acceleration control system via industrial motion network,AI,
8,IEEE International Conference on Industrial Technology (ICIT),2018,A study on the L∞/L2 performance of a computed torque controller,L ∞/ l2 performance,Control,
9,IEEE International Conference on Industrial Technology (ICIT),2018,Actuator dynamics augmented DOBC for a small scale fixed wing UAV,Small scale fixed wing uav,Electronics,
10,IEEE International Conference on Industrial Technology (ICIT),2018,Adaptive passivity-based control for output voltage tracking of single-inductor dual-output buck converters,Output voltage tracking,Electronics,
11,IEEE International Conference on Industrial Technology (ICIT),2018,Adaptive super twisting control of linear induction motor considering dynamic end effects,Linear induction motor considering dynamic end effects,Control,
12,IEEE International Conference on Industrial Technology (ICIT),2018,Advanced process control aimed at energy efficiency improvement in process industries,Advanced process control aimed,Control,
13,IEEE International Conference on Industrial Technology (ICIT),2018,All-terrain estimation for mobile robots in precision agriculture,Terrain estimation,Robotics,
14,IEEE International Conference on Industrial Technology (ICIT),2018,An effective neuron based method for process control in industrial environment,Effective neuron based method,Control,
15,IEEE International Conference on Industrial Technology (ICIT),2018,An effective strategy of real-time vision-based control for a Stewart platform,Time vision,Control,
16,IEEE International Conference on Industrial Technology (ICIT),2018,Anti-swing design for overhead crane based on dual sliding mode control,Dual sliding mode control,Control,
17,IEEE International Conference on Industrial Technology (ICIT),2018,Automatic parameter learning for easy instruction of industrial collaborative robots,Industrial collaborative robots,AI,
18,IEEE International Conference on Industrial Technology (ICIT),2018,Bond graph modeling and analysis of intermediary cooling system of a nuclear power plants,Nuclear power plants,Modeling,
19,IEEE International Conference on Industrial Technology (ICIT),2018,Contact force control of tilt-rotor helicopter in 2-dimensional space,Contact force control,Electronics,
20,IEEE International Conference on Industrial Technology (ICIT),2018,Control for stochastic tracking error minimization based on state entropy with neural network,Stochastic tracking error minimization based,AI,
21,IEEE International Conference on Industrial Technology (ICIT),2018,Control signal weighting for robot formation,Control signal weighting,Robotics,
22,IEEE International Conference on Industrial Technology (ICIT),2018,Coordinated system with tracking-position and flying-height controls for magnetic heads in HDDs,Magnetic heads,Electronics,
23,IEEE International Conference on Industrial Technology (ICIT),2018,Cyclic gait planning and control of underactuated five-link biped robot during single support and impact phases for normal walking,Link biped robot,Robotics,
24,IEEE International Conference on Industrial Technology (ICIT),2018,DC microgrid voltage stability by dynamic feedback linearization,Dc microgrid voltage stability,Electronics,
25,IEEE International Conference on Industrial Technology (ICIT),2018,Decentralized observer-based fuzzy control for interconnected networked control systems with quantization and random packets dropout,Interconnected networked control systems,AI,
26,IEEE International Conference on Industrial Technology (ICIT),2018,Design of a skill-learning system based on human-motion reproduction,Learning system based,AI,
27,IEEE International Conference on Industrial Technology (ICIT),2018,Dual arm robot manipulator for grasping boxes of different dimensions in a logistics warehouse,Dual arm robot manipulator,Robotics,
28,IEEE International Conference on Industrial Technology (ICIT),2018,Dynamic properties of velocity fields encoding contouring tasks for feedback control design,Velocity fields encoding contouring tasks,Electronics,
29,IEEE International Conference on Industrial Technology (ICIT),2018,Experimental operability evaluation of remote control with force feedback for mobile robot,Experimental operability evaluation,Robotics,
30,IEEE International Conference on Industrial Technology (ICIT),2018,Feedback linearization approach to fault tolerance for a micro quadrotor,Feedback linearization approach,Electronics,
31,IEEE International Conference on Industrial Technology (ICIT),2018,FLC-based PID controller tuning for sensorless speed control of DC motor,Based pid controller tuning,Electronics,
32,IEEE International Conference on Industrial Technology (ICIT),2018,Fuel optimal control of an off-road transport mission,Road transport mission,Optimization,
33,IEEE International Conference on Industrial Technology (ICIT),2018,General parametric and periodic uncertainties and time delay robust control design toolbox,Time delay robust control design toolbox,Uncertainty quantification,
34,IEEE International Conference on Industrial Technology (ICIT),2018,Hand gesture recognition using force myography of the forearm activities and optimized features,Hand gesture recognition using force myography,AI,
35,IEEE International Conference on Industrial Technology (ICIT),2018,Hardware in the Loop (HiL) testing of a human electric hybrid vehicle,Human electric hybrid vehicle,Vehicle dynamics,
36,IEEE International Conference on Industrial Technology (ICIT),2018,Implementation of a fault diagnosis system using neural networks for solar panel,Fault diagnosis system using neural networks,AI,
37,IEEE International Conference on Industrial Technology (ICIT),2018,Improvement of H∞ controller by using RBode plot for magnetic-head positioning system in HDDs,Using rbode plot,Control,
38,IEEE International Conference on Industrial Technology (ICIT),2018,Improvement of the ATS system for safety on the three-aspect railway signaling system in conventional line,Aspect railway signaling system,Dynamics,
39,IEEE International Conference on Industrial Technology (ICIT),2018,Liquid feeding system using cooperative towing by multiple drones — 2nd Report: Position estimation of each drones based on catenary theory and tensile force of tube,Liquid feeding system using cooperative towing,Measurements,
40,IEEE International Conference on Industrial Technology (ICIT),2018,Low-order multivariable weighting function design for H∞ loop shaping method based on ν-gap,H ∞ loop shaping method based,Dynamics,
41,IEEE International Conference on Industrial Technology (ICIT),2018,Microcontroller of the power supply of a fast field cycling relaxometer,Fast field cycling relaxometer,Control,
