,Conference,Year,Title,Keywords,Category,Note
1,ECCOMAS Thematic Conference on Multibody Dynamics,2021,"Extended Kalman Filter for Real-Time, Full–Body Motion Capture and Driving Efforts Estimation (ID: 238)",Full – body motion capture,Robotics,
2,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical stability analysis of the conservative SLIP model with a Hill-type muscle (ID: 234),Numerical stability analysis,Modeling,
3,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Child Gait Predictive Dynamic Simulation (ID: 133),Child gait predictive dynamic simulation,Modeling,
4,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Statistical Analysis of Performace Measures During Acceleration and Deceleration in Overground Running (ID: 247),Statistical analysis,Measurements,
5,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient Walking Of A Discrete Simple Biped With a Torso (ID: 116),Discrete simple biped,Dynamics,
6,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Use of a Multibody Model for Determination of the 3D Human Spine Posture from Wearable Inertial Sensors (ID: 123),3d human spine posture,Smart technologies,
7,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A new method for feedback and feedforward decomposition of human postural control: application to single-leg Yoga postures (ID: 132),Leg yoga postures,Electronics,
8,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Estimation of the Reaction Time During Balancing on Rolling Balance Board in the Frontal Plane (ID: 221),Rolling balance board,Measurements,
9,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Biomechanical Modeling and Examination of Effects of Ankle Sprain Orthoses (ID: 246),Ankle sprain orthoses,Modeling,
10,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Kinematic Analysis of Planar Biomechanical Models using Mixed Coordinates (ID: 245),Planar biomechanical models using mixed coordinates,Modeling,
11,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sars Covid19 main protease mutation analysis via a kinematic method (ID: 215),Sars covid19 main protease mutation analysis via,Numerical analysis,
12,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Assisted Walking with Hybrid Orthosis Using Functional Electrical Stimulation (ID: 272),Hybrid orthosis using functional electrical stimulation,Dynamics,
13,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Biomechanics of Swimmers: A Multibody Inverse Dynamics Approach (ID: 270),Multibody inverse dynamics approach,Electronics,
14,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Forward Dynamic Simulations of the Temporomandibular Joint based on Subject-Specific Data (ID: 142),Temporomandibular joint based,Modeling,
15,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Long Term Simulation of Stem Cell Nucleus During Adipogenesis (ID: 147),Stem cell nucleus,Modeling,
16,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analytical solutions of the electromechanical middle ear model with an implantable hearing device (ID: 195),Electromechanical middle ear model,Electronics,
17,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Control concepts for human motion control during balancing an inverted pendulum (ID: 208),Human motion control,Robotics,
18,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimal control of a human driver in highly dynamic driving scenarios (ID: 188),Highly dynamic driving scenarios,Optimization,
19,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimization and Evaluation of Spinal Exoskeleton Design Concepts using Optimal Control (ID: 235),Spinal exoskeleton design concepts using optimal control,Optimization,
20,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Towards Compliant Human-Exoskeleton Interactions Within Multibody Dynamics Simulations of Assisted Human Mo-tor Control (ID: 191),Exoskeleton interactions within multibody dynamics simulations,Electronics,
21,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Rehabilitation of Musculoskeletal Models Using Deep Reinforcement Learning (ID: 269),Musculoskeletal models using deep reinforcement learning,AI,
22,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Estimation of Intervertebral Efforts via an EMG-driven Multibody Model of the Sorensen Test (ID: 126),Intervertebral efforts via,Measurements,
23,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Model-based Co-simulation of Non-smooth Mechanical Systems (ID: 256),Smooth mechanical systems,Modeling,
24,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Further investigation on LuGre friction force model under normal load variation (ID: 225),Lugre friction force model,Modeling,
25,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multibody fatigue assessment in industrial mechanisms considering wear in revolute joints (ID: 252),Industrial mechanisms considering wear,Dynamics,
26,ECCOMAS Thematic Conference on Multibody Dynamics,2021,The Tippedisk: a minimal model for friction-induced inversion (ID: 113),Minimal model,Modeling,
27,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Do we need to impose constraints at acceleration level in the nonsmooth generalized-alpha method? (ID: 261),Nonsmooth generalized,Formulation,
28,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Planar Wrapping and Stretching of a Thick Strand on a Surface by Continuous Integration (ID: 183),Thick strand,Electronics,
29,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Train Bogie Dynamics Modeling with an Emphasis on Contact Mechanics in a Multibody Model (ID: 262),Train bogie dynamics modeling,Vehicle dynamics,
30,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient impact simulation using the flexible natural coordinate formulation and pinball model (ID: 266),Flexible natural coordinate formulation,Formulation,
31,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Long-term rolling motions of a basketball on the rim (ID: 241),Term rolling motions,Robotics,
32,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical Analysis of Contact-Impact Problems using Finite Element Method (ID: 124),Impact problems using finite element method,Electronics,
33,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Port crane guidance dynamics analysed via the Multibody approach (ID: 214),Port crane guidance dynamics analysed via,Electronics,
34,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Nonsmooth Dynamics Perspective on State Observer Design for Mechanical Systems with Unilateral Constraints (ID:140),State observer design,Formulation,
35,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Non-smooth numerical solution for Coulomb friction and rolling resistance (ID: 267),Smooth numerical solution,Dynamics,
36,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the simulation of freewheels using the methods of non-smooth dynamics (ID: 217),Smooth dynamics,Modeling,
37,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Manufacturing tolerance optimization of circuit breaker mechanism using Multibody Dynamic simulation (ID: 259),Circuit breaker mechanism using multibody dynamic simulation,Electronics,
38,ECCOMAS Thematic Conference on Multibody Dynamics,2021,3D LuGre model for multibody systems involving contacts with stick-slip (ID: 175),Multibody systems involving contacts,Electronics,
39,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An impact model of three-dimensional rigid rocking blocks (ID: 150),Dimensional rigid rocking blocks,Electronics,
40,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Synchronous Contact/Impact Events Modelling With A Smooth-Based Approach (ID: 114),Impact events modelling,Electronics,
41,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Demystifying the Mechanical and Numerical Concepts Underlying Multibody System Dynamics: Development of an International MOOC (ID: 194),Numerical concepts underlying multibody system dynamics,Dynamics,
42,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Validation of MBD-CFD Co-Simulation for Corrugating Machine (ID: 115),Corrugating machine,Electronics,
43,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Development of a Cyber-Physical Test Bench for E-Powertrain Components (ID: 119),Physical test bench,Vehicle dynamics,
44,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An improved absolute coordinate formulation (ACF) for flexible multibody dynamics (ID: 134),Improved absolute coordinate formulation,Formulation,
45,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Computation of internal forces in beam elements with constraint torsional warping (ID: 218),Constraint torsional warping,Formulation,
46,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modelling of dielectric elastomer actuated flexible multibody dynamics (ID: 135),Dielectric elastomer actuated flexible multibody dynamics,Electronics,
47,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sloshing Dynamics Estimation for Liquid-filled Containers under 2-Dimensional Excitation (ID: 274),Sloshing dynamics estimation,Measurements,
48,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Eigenfrequency assignment to flexible-link multibody systems using Taylor expansion of a parametric modal model (ID:236),Link multibody systems using taylor expansion,Modeling,
49,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Satisfying floating frame constraints in an absolute interface coordinates floating frame formulation (ID: 197),Absolute interface coordinates floating frame formulation,Formulation,
50,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Flexible Multibody Dynamics and Sensitivity Analysis in the Design of a Morphing Leading Edge for High-Performance Sailplanes (ID: 203),Morphing leading edge,Numerical analysis,
51,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Simultaneous Space-Time Discretization for Controlling the Motion of Rigid Bodies Actuated Through Elastic Ropes (ID: 153),Rigid bodies actuated,Robotics,
52,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multipoint Constraints for Interface Reduction in Flexible Multibody Systems (ID: 205),Flexible multibody systems,Formulation,
53,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Influence of the Flexibility of the Railway Locomotive Bogies Components on its Dynamics (ID: 273),Railway locomotive bogies components,Dynamics,
54,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Flexible Multibody Impact Simulations of Hierarchically Refined Isogeometric Models (ID: 131),Hierarchically refined isogeometric models,Electronics,
55,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A toolkit of componets to design a soft gripper (ID: 186),Soft gripper,Dynamics,
56,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Adjoint optimisation of worm-like body locomotion (ID: 248),Like body locomotion,Robotics,
57,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Topology Optimization for Eigenfrequencies of a Flexible Multibody System (ID: 184),Flexible multibody system,Optimization,
58,ECCOMAS Thematic Conference on Multibody Dynamics,2021,DYNAMIC ANALYSIS OF AN INTERNAL TURNING TOOL WITH ELASTIC FOUNDATION (WINKLER MODEL) (ID: 222),Internal turning tool,Modeling,
59,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Non-linear beam formulation with NURBS interpolation for the simulation of sliding contacts (ID: 181),Linear beam formulation,Formulation,
60,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Coupled multibody model of industrial robot with milling simulator for trajectory compensation (ID: 139),Coupled multibody model,Robotics,
61,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Tensorial deformation measures for the floating frame of reference formulation (ID: 159),Tensorial deformation measures,Formulation,
