,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Industrial Technology (ICIT),2017,[Front cover],Front cover,Dynamics,
2,IEEE International Conference on Industrial Technology (ICIT),2017,Power electronics and energy conversion,Power electronics,Electronics,
3,IEEE International Conference on Industrial Technology (ICIT),2017,A cost-effective technique for dynamic testing of DC-DC power supplies,Dc power supplies,Electronics,
4,IEEE International Conference on Industrial Technology (ICIT),2017,A filterless single-phase AC-AC converter based on coupled inductors with safe-commutation strategy and continuous input current,Continuous input current,Electronics,
5,IEEE International Conference on Industrial Technology (ICIT),2017,A generalized formulation of SHM-PAM for cascaded H-bridge inverters with non-equal DC sources,Equal dc sources,Formulation,
6,IEEE International Conference on Industrial Technology (ICIT),2017,A modular one-switch three-phase Single Ended Primary Inductor (SEPIC) rectifier,Phase single ended primary inductor,Dynamics,
7,IEEE International Conference on Industrial Technology (ICIT),2017,A novel DVR based on parallel-connected diode-clamped modular multilevel converters,Clamped modular multilevel converters,IOT & VR/AR,
8,IEEE International Conference on Industrial Technology (ICIT),2017,A novel series input parallel output soft-switching high step-down converter: Analysis and implementation,Novel series input parallel output soft,Numerical analysis,
9,IEEE International Conference on Industrial Technology (ICIT),2017,Analysis and control of a high voltage ratio and low stress DC-DC converter for fuel cell applications,High voltage ratio,Electronics,
10,IEEE International Conference on Industrial Technology (ICIT),2017,Application of Y-cap on noise attenuation in low power part of power converter,Low power part,Dynamics,
11,IEEE International Conference on Industrial Technology (ICIT),2017,Back-to-back MOSFET switches to reduce the losses in SCALDO implementation,Back mosfet switches,Electronics,
12,IEEE International Conference on Industrial Technology (ICIT),2017,Capacitor voltage balancing method for modular multilevel converter with flying capacitor submodules,Capacitor voltage balancing method,Electronics,
13,IEEE International Conference on Industrial Technology (ICIT),2017,Comparative assessment of three-phase transformerless grid-connected solar inverters,Phase transformerless grid,Dynamics,
14,IEEE International Conference on Industrial Technology (ICIT),2017,Design and implementation of feedback controllers for a power converter based on a three-terminal switch mode,Terminal switch mode,Electronics,
15,IEEE International Conference on Industrial Technology (ICIT),2017,Diode-bridge enclosed one switch three-phase power factor corrected (PFC) Ĉuk rectifier,Bridge enclosed one switch three,Electronics,
16,IEEE International Conference on Industrial Technology (ICIT),2017,Discrete time sliding mode control of single phase LCL grid-inverter,Discrete time sliding mode control,Control,
17,IEEE International Conference on Industrial Technology (ICIT),2017,Experimental stability analysis of an electromagnetic levitation melting system fed by a series resonant converter,Electromagnetic levitation melting system fed,Electronics,
18,IEEE International Conference on Industrial Technology (ICIT),2017,Experimental verification of virtual inertia in diesel generator based microgrids,Diesel generator based microgrids,Dynamics,
19,IEEE International Conference on Industrial Technology (ICIT),2017,Exploring a modulation strategy by experiments for modular multilevel converter in faulty operation,Modular multilevel converter,Dynamics,
20,IEEE International Conference on Industrial Technology (ICIT),2017,General impedance representation of passive devices based on measurement,Passive devices based,Measurements,
21,IEEE International Conference on Industrial Technology (ICIT),2017,IGBT open-circuit fault diagnosis based on the current prediction in the line-side AC/DC converter,Circuit fault diagnosis based,Electronics,
22,IEEE International Conference on Industrial Technology (ICIT),2017,Interleaved high step-up DC-DC converter with parallel-input series-output configuration and voltage multiplier module,Voltage multiplier module,Electronics,
23,IEEE International Conference on Industrial Technology (ICIT),2017,Investigation of the effects of load parasitic inductance on SiC MOSFETs switching performance,Sic mosfets switching performance,Dynamics,
24,IEEE International Conference on Industrial Technology (ICIT),2017,Low-power DC energy conversion system based on a novel single-switch current-fed series-parallel resonant converter,Power dc energy conversion system based,Electronics,
25,IEEE International Conference on Industrial Technology (ICIT),2017,Medium voltage 4-level double-star multilevel converter using model predictive control,Star multilevel converter using model predictive control,Control,
26,IEEE International Conference on Industrial Technology (ICIT),2017,Microcontroller-controlled constant current DC-DC converter modules for driving a multi-wavelength LED array,Controlled constant current dc,Electronics,
27,IEEE International Conference on Industrial Technology (ICIT),2017,Microgrid design with renewable energy sources and storage based on power conditioning system for autonomous island operation,Renewable energy sources,Dynamics,
28,IEEE International Conference on Industrial Technology (ICIT),2017,Modeling and generalization of parallel multilevel converter for the design of the closed loop's controllers,Parallel multilevel converter,Control,
29,IEEE International Conference on Industrial Technology (ICIT),2017,New dc-link balancing algorithm for multilevel inverter in photovoltaic system,Link balancing algorithm,Algorithm,
30,IEEE International Conference on Industrial Technology (ICIT),2017,Novel symmetric and asymmetric topology of multilevel inverter with reduced number of switches,Reduced number,Formulation,
31,IEEE International Conference on Industrial Technology (ICIT),2017,Operating region of a three-phase quasi-Z-source inverter,Source inverter,Dynamics,
32,IEEE International Conference on Industrial Technology (ICIT),2017,Photocatalytic reactor with multiphase digital control of luminous radiation,Multiphase digital control,Smart technologies,
