,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Industrial Technology (ICIT),2019,[Front cover],Front cover,Dynamics,
2,IEEE International Conference on Industrial Technology (ICIT),2019,ICIT 2019 Organizing Committees,Icit 2019 organizing committees,Dynamics,
3,IEEE International Conference on Industrial Technology (ICIT),2019,ICIT 2019 Technical Program Reviewers,Icit 2019 technical program reviewers,Dynamics,
4,IEEE International Conference on Industrial Technology (ICIT),2019,ICIT 2019 Keynote Addresses,Icit 2019 keynote addresses,Dynamics,
5,IEEE International Conference on Industrial Technology (ICIT),2019,ICIT 2019 Panel Sessions [breaker page],Icit 2019 panel sessions,Dynamics,
6,IEEE International Conference on Industrial Technology (ICIT),2019,Automation in Mining Engineering,Mining engineering,Dynamics,
7,IEEE International Conference on Industrial Technology (ICIT),2019,Comparative Study on Object Tracking Algorithms for mobile robot Navigation in GPS-denied Environment,Object tracking algorithms,Robotics,
8,IEEE International Conference on Industrial Technology (ICIT),2019,The Business Case for Zero Entry Mining,Zero entry mining,Dynamics,
9,IEEE International Conference on Industrial Technology (ICIT),2019,"Robotics, Mechatronics and Control Systems",Control systems,Robotics,
10,IEEE International Conference on Industrial Technology (ICIT),2019,A Decoupled Linear Model Predictive Control-based Motion Cueing Algorithm for Simulation-based Motion Platform with Limitted Workspace,Decoupled linear model predictive control,Robotics,
11,IEEE International Conference on Industrial Technology (ICIT),2019,A Fusion Control of Impedance and Vibration Suppression for a Manipulator with Flexible Base,Vibration suppression,Electronics,
12,IEEE International Conference on Industrial Technology (ICIT),2019,A Robot Portraits Pencil Sketching Algorithm Based on Face Component and Texture Segmentation,Robot portraits pencil sketching algorithm based,Robotics,
13,IEEE International Conference on Industrial Technology (ICIT),2019,An Approach to Air Pressure Interface for Position Control of Manipulator,Air pressure interface,Electronics,
14,IEEE International Conference on Industrial Technology (ICIT),2019,Artificial Neural Network Motor Control for Full-Electric Injection Moulding Machine,Artificial neural network motor control,AI,
15,IEEE International Conference on Industrial Technology (ICIT),2019,Bounded Error Tracking Control for Contouring Systems with End Effector Measurements,Bounded error tracking control,Measurements,
16,IEEE International Conference on Industrial Technology (ICIT),2019,Constrained Time-Optimal Motion Control of a Linear Motor Driven System: Theory and Experiments,Linear motor driven system,Vehicle dynamics,
17,IEEE International Conference on Industrial Technology (ICIT),2019,Control System Development of a Hexarot-Based High-G Centrifugal Simulator,G centrifugal simulator,Control,
18,IEEE International Conference on Industrial Technology (ICIT),2019,Damping control of suspended load in consideration of boom deflection,Suspended load,Control,
19,IEEE International Conference on Industrial Technology (ICIT),2019,Data-driven discovery of the heat equation in an induction machine via sparse regression,Induction machine via sparse regression,Electronics,
20,IEEE International Conference on Industrial Technology (ICIT),2019,Developing a Virtual Stiffness-Damping System for Airfoil Aeroelasticity Testing,Airfoil aeroelasticity testing,Dynamics,
21,IEEE International Conference on Industrial Technology (ICIT),2019,Estimation of Wind Disturbance for Quadcopter in Closed Space,Wind disturbance,Measurements,
22,IEEE International Conference on Industrial Technology (ICIT),2019,Experimental Comparison Study on Joint and Cartesian Space Control Schemes for a Teleoperation System Under Time-Varying Delay,Cartesian space control schemes,Electronics,
23,IEEE International Conference on Industrial Technology (ICIT),2019,Experimental Verification of Visual Feedback Control for a Pendubot with Varying Moment of Inertia,Visual feedback control,Electronics,
24,IEEE International Conference on Industrial Technology (ICIT),2019,Ground vehicle odometry using a non-intrusive inertial speed sensor,Intrusive inertial speed sensor,Vehicle dynamics,
25,IEEE International Conference on Industrial Technology (ICIT),2019,Identification and Compensation of periodic gear transmission errors in Robot Manipulators,Periodic gear transmission errors,System identification,
26,IEEE International Conference on Industrial Technology (ICIT),2019,Kinematic Manipulability Analysis of Hexarot Simulators,Kinematic manipulability analysis,Numerical analysis,
27,IEEE International Conference on Industrial Technology (ICIT),2019,LMI Region-Constrained Takagi-Sugeno Fuzzy Tracking Control,Sugeno fuzzy tracking control,Vehicle dynamics,
28,IEEE International Conference on Industrial Technology (ICIT),2019,Modeling and Robust Attitude Controller Design for a Small Size Helicopter,Robust attitude controller design,Control,
29,IEEE International Conference on Industrial Technology (ICIT),2019,Nonlinear Modelling of Dynamic Wire Tension for Needle Winding Processes of Distributed Windings,Needle winding processes,Modeling,
30,IEEE International Conference on Industrial Technology (ICIT),2019,Optimization Method for Controller Parameters Using Support Vector Machine,Controller parameters using support vector machine,Electronics,
31,IEEE International Conference on Industrial Technology (ICIT),2019,Optimization of the Milling Parameters of a Robotic-based Bone Milling System,Based bone milling system,Robotics,
32,IEEE International Conference on Industrial Technology (ICIT),2019,Path tracking control for a robot-trailer system in the presence of measurement bias,Path tracking control,Robotics,
33,IEEE International Conference on Industrial Technology (ICIT),2019,Power Curve Analysis Of On-ground Airborne Wind Energy Systems,Ground airborne wind energy systems,Numerical analysis,
