,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Industrial Technology (ICIT),2021,Adjusting the active joint stiffness of a collaborative robot arm for force control,Collaborative robot arm,Robotics,
2,IEEE International Conference on Industrial Technology (ICIT),2021,Application of Augmented Reality based on Sensing Data to Teleoperation System for Operator Support,Augmented reality based,IOT & VR/AR,
3,IEEE International Conference on Industrial Technology (ICIT),2021,Autonomous Vehicle Control Design Framework for Performance and Driveability,Autonomous vehicle control design framework,Vehicle dynamics,
4,IEEE International Conference on Industrial Technology (ICIT),2021,Design Guidelines for the Evolutionary Integration of Physical Behaviour Models into Plant Simulations for Production Engineering,Physical behaviour models,Modeling,
5,IEEE International Conference on Industrial Technology (ICIT),2021,"Design, Characterization, and Control of a Size Adaptable In-pipe Robot for Water Distribution Systems",Water distribution systems,Robotics,
6,IEEE International Conference on Industrial Technology (ICIT),2021,Development of a Wearable Four-Degrees-of-Freedom Force Feedback Device with a Clutch Mechanism Using Artificial Muscle Contraction,Clutch mechanism using artificial muscle contraction,Smart technologies,
7,IEEE International Conference on Industrial Technology (ICIT),2021,Generalized Iterative Super-Twisting Sliding Mode Control: A Case Study on Flexure-Joint Dual-Drive H-Gantry Stage,Twisting sliding mode control,Control,
8,IEEE International Conference on Industrial Technology (ICIT),2021,"Implementation and Comparison of PID, PI-PD, LQR and MPC on Separation Clutch System in Slip",Separation clutch system,Dynamics,
9,IEEE International Conference on Industrial Technology (ICIT),2021,Model predictive control of vehicle dynamics based on the Koopman operator with extended dynamic mode decomposition,Extended dynamic mode decomposition,Vehicle dynamics,
10,IEEE International Conference on Industrial Technology (ICIT),2021,MPC based Sliding Mode Control for More Electric Aircraft application,Mpc based sliding mode control,Control,
11,IEEE International Conference on Industrial Technology (ICIT),2021,Operability Evaluation of Human-Adaptive Impedance Control for Human-collaborative Robots,Adaptive impedance control,Robotics,
12,IEEE International Conference on Industrial Technology (ICIT),2021,Perturbation and Observer Based Sliding-Mode Controller for Excitation control in Single-Machine Infinite Bus System,Machine infinite bus system,Electronics,
13,IEEE International Conference on Industrial Technology (ICIT),2021,Robust Control Design Toolbox for General Time Delay Systems via Structured Singular Value: Unstable Systems with Factorization for Two-Degree-of-Freedom Controller,General time delay systems via structured singular value,Electronics,
14,IEEE International Conference on Industrial Technology (ICIT),2021,Robust Simple Adaptive Control with Augmented Output Signal and Friction Compensation for Industrial Feed Drive Systems,Robust simple adaptive control,Control,
15,IEEE International Conference on Industrial Technology (ICIT),2021,Time-varying group formation-tracking control for general linear multi-agent systems with switching topologies and time-varying delays,General linear multi,Electronics,
16,IEEE International Conference on Industrial Technology (ICIT),2021,Verification of the,Verification,Dynamics,
17,IEEE International Conference on Industrial Technology (ICIT),2021,Electrical Machines and Drives,Electrical machines,Electronics,
18,IEEE International Conference on Industrial Technology (ICIT),2021,A Comparison Between Conventional and Flux-Intensifying Interior Permanent Magnet Synchronous Machines,Intensifying interior permanent magnet synchronous machines,Electronics,
19,IEEE International Conference on Industrial Technology (ICIT),2021,A Performance Comparison of GaN FET and Silicon MOSFET,Silicon mosfet,Dynamics,
20,IEEE International Conference on Industrial Technology (ICIT),2021,A phase based approach for machine inductance estimation via current slope detection of an inverter fed IPMSM,Machine inductance estimation via current slope detection,Measurements,
21,IEEE International Conference on Industrial Technology (ICIT),2021,An Application of Active Disturbance Rejection Control to Stepper Motors with Field Oriented Control,Active disturbance rejection control,Electronics,
22,IEEE International Conference on Industrial Technology (ICIT),2021,Automatic Detection of Rotor Faults in Induction Motors by Convolutional Neural Networks applied to Stray Flux Signals,Convolutional neural networks applied,AI,
23,IEEE International Conference on Industrial Technology (ICIT),2021,Bispectrum and Kurtosis Analysis of Rotor Currents for the Detection of Field Winding Faults in Synchronous Motors,Field winding faults,Numerical analysis,
24,IEEE International Conference on Industrial Technology (ICIT),2021,"Carrier Modulation Schemes of Asymmetric, Multileveled, Switched Reluctance Machine Drives",Switched reluctance machine drives,Electronics,
25,IEEE International Conference on Industrial Technology (ICIT),2021,Comparison of Hybrid PM assisted Synchronous Reluctance Motors,Hybrid pm assisted synchronous reluctance motors,Dynamics,
26,IEEE International Conference on Industrial Technology (ICIT),2021,"Comparison of Synchronous Reluctance, PM assisted Synchronous Reluctance and Spoke-Type BLDC Motor for an E-Rickshaw",Pm assisted synchronous reluctance,Electronics,
27,IEEE International Conference on Industrial Technology (ICIT),2021,Design of a FPGA-based Inverter Drive for HF Injection Based Sensorless Control,Hf injection based sensorless control,Control,
28,IEEE International Conference on Industrial Technology (ICIT),2021,Detection and Discrimination of Inter-Turn Short Circuit and Demagnetization Faults in PMSMs Based on Structural Analysis,Turn short circuit,Numerical analysis,
29,IEEE International Conference on Industrial Technology (ICIT),2021,Harmonic current injection for torque ripple reduction with optimum current trajectory for minimum induced voltage,Torque ripple reduction,Optimization,
30,IEEE International Conference on Industrial Technology (ICIT),2021,High Performance Finite Control Set Model Predictive DTC for Three-to-Five Phase Direct Matrix Converter Fed Induction Motor Drive,Five phase direct matrix converter fed induction motor drive,Control,
31,IEEE International Conference on Industrial Technology (ICIT),2021,Improved DC-link Voltage Utilization for Dual Three-phase Drives with Full Anti-windup and Harmonic Compensation,Link voltage utilization,Electronics,
32,IEEE International Conference on Industrial Technology (ICIT),2021,Modelling of Permanent Magnet Synchronous Generator with Non-linear Magnets,Permanent magnet synchronous generator,Modeling,
33,IEEE International Conference on Industrial Technology (ICIT),2021,Numerical modeling for 3D eddy current calculation in magneto-quasistatic approximation,3d eddy current calculation,Modeling,
34,IEEE International Conference on Industrial Technology (ICIT),2021,Reduction in Eddy Current Loss of Concentrated Windings in High-power Density IPMSM Using Rectangular Windings,Power density ipmsm using rectangular windings,Dynamics,
35,IEEE International Conference on Industrial Technology (ICIT),2021,Reliability Model Development for Wind Turbine Drivetrain with Brushless Doubly-Fed Induction Machine as Generator,Wind turbine drivetrain,Vehicle dynamics,
36,IEEE International Conference on Industrial Technology (ICIT),2021,Sensorless Speed Control of Single-Inverter Dual Motors based on Slotting Saliency Harmonic,Inverter dual motors based,Control,
37,IEEE International Conference on Industrial Technology (ICIT),2021,Stability Analysis of a Non-Linear PWM-Controlled Buck Converter with LC Input Filter,Lc input filter,Control,
38,IEEE International Conference on Industrial Technology (ICIT),2021,Power Electronics and Renewable Energy Conversion,Renewable energy conversion,Electronics,
