,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Robotics and Automation,2017,[Front cover],Front cover,Dynamics,
2,IEEE International Conference on Robotics and Automation,2017,Welcome,Welcome,Dynamics,
3,IEEE International Conference on Robotics and Automation,2017,Organizing Committee,Organizing committee,Dynamics,
4,IEEE International Conference on Robotics and Automation,2017,Plenary and keynote talks,Keynote talks,Dynamics,
5,IEEE International Conference on Robotics and Automation,2017,Special sessions on emerging robotics technology,Emerging robotics technology,Robotics,
6,IEEE International Conference on Robotics and Automation,2017,Workshop and Tutorials,Workshop,Dynamics,
7,IEEE International Conference on Robotics and Automation,2017,Program at a glance,Program,Dynamics,
8,IEEE International Conference on Robotics and Automation,2017,Index of papers presented at ICRA 2017 and published in the IEEE Robotics and Automation Letters,Papers presented,Robotics,
9,IEEE International Conference on Robotics and Automation,2017,A structure preserving nondimensionalization of hydraulic rotational joints,Structure preserving nondimensionalization,Dynamics,
10,IEEE International Conference on Robotics and Automation,2017,Mechanical design of a compact Serial Variable Stiffness Actuator (SVSA) based on lever mechanism,Compact serial variable stiffness actuator,Electronics,
11,IEEE International Conference on Robotics and Automation,2017,"Toward compliant, fast, high-precision, and low-cost manipulator with hydraulic hybrid servo booster",Hydraulic hybrid servo booster,Dynamics,
12,IEEE International Conference on Robotics and Automation,2017,Design of a structure-controlled variable stiffness actuator based on rotary flexure hinges,Controlled variable stiffness actuator based,Electronics,
13,IEEE International Conference on Robotics and Automation,2017,Intrinsically backdrivable hydraulic servovalve for interactive robot control,Intrinsically backdrivable hydraulic servovalve,Robotics,
14,IEEE International Conference on Robotics and Automation,2017,A reconfigurable hybrid actuator with rigid and soft components,Reconfigurable hybrid actuator,Electronics,
15,IEEE International Conference on Robotics and Automation,2017,Scalable pneumatic and tendon driven robotic joint inspired by jumping spiders,Tendon driven robotic joint inspired,Robotics,
16,IEEE International Conference on Robotics and Automation,2017,Position-based PD control design for hydraulic robots using passive subsystems in multi-time scales,Hydraulic robots using passive subsystems,Robotics,
17,IEEE International Conference on Robotics and Automation,2017,Fast second-order cone programming for safe mission planning,Safe mission planning,Dynamics,
18,IEEE International Conference on Robotics and Automation,2017,Exact and efficient Hamilton-Jacobi guaranteed safety analysis via system decomposition,Jacobi guaranteed safety analysis via system decomposition,Electronics,
19,IEEE International Conference on Robotics and Automation,2017,An efficient optimal planning and control framework for quadrupedal locomotion,Efficient optimal planning,Robotics,
20,IEEE International Conference on Robotics and Automation,2017,A κITE in the wind: Smooth trajectory optimization in a moving reference frame,Smooth trajectory optimization,Optimization,
