,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Robotics and Automation,2021,Uncertainty-aware Non-linear Model Predictive Control for Human-following Companion Robot,Linear model predictive control,Robotics,
2,IEEE International Conference on Robotics and Automation,2021,Path Planning in Uncertain Ocean Currents using Ensemble Forecasts,Uncertain ocean currents using ensemble forecasts,Robotics,
3,IEEE International Conference on Robotics and Automation,2021,Distributed Motion Coordination Using Convex Feasible Set Based Model Predictive Control,Distributed motion coordination using convex feasible set based model predictive control,Robotics,
4,IEEE International Conference on Robotics and Automation,2021,Risk-Conditioned Distributional Soft Actor-Critic for Risk-Sensitive Navigation,Conditioned distributional soft actor,Electronics,
5,IEEE International Conference on Robotics and Automation,2021,Optimized Method for Planning and Controlling the Somersault Motion of Quadruped Robot,Somersault motion,Robotics,
6,IEEE International Conference on Robotics and Automation,2021,Motion Coupling Analysis for the Decoupled Design of a Two-segment Notched Continuum Robot,Segment notched continuum robot,Robotics,
7,IEEE International Conference on Robotics and Automation,2021,VINS-Motion: Tightly-coupled Fusion of VINS and Motion Constraint,Coupled fusion,Formulation,
8,IEEE International Conference on Robotics and Automation,2021,Robot-to-image Registration with Geometric Marker for CT-guided Robotic Needle Insertion,Guided robotic needle insertion,Robotics,
9,IEEE International Conference on Robotics and Automation,2021,Shape Sensor Using Magnetic Induction with Frequency Sweeping for Medical Catheters,Shape sensor using magnetic induction,Dynamics,
10,IEEE International Conference on Robotics and Automation,2021,Temperature Compensated 3D Printed Strain Sensor for Advanced Manufacturing Applications,Temperature compensated 3d printed strain sensor,Vehicle dynamics,
11,IEEE International Conference on Robotics and Automation,2021,Design of a deployable underwater robot for the recovery of autonomous underwater vehicles based on origami technique,Autonomous underwater vehicles based,Vehicle dynamics,
12,IEEE International Conference on Robotics and Automation,2021,Modelling and optimisation of a mechanism-based metamaterial for a wrist flexion-extension assistive device,Extension assistive device,Optimization,
13,IEEE International Conference on Robotics and Automation,2021,Mechatronic Design of A Low-Noise Active Knee Prosthesis with High Backdrivability,Noise active knee prosthesis,Electronics,
14,IEEE International Conference on Robotics and Automation,2021,Introspective Visuomotor Control: Exploiting Uncertainty in Deep Visuomotor Control for Failure Recovery,Introspective visuomotor control,AI,
