,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Robotics and Automation,2020,Index of papers presented at ICRA 2020 and published in the IEEE Robotics and Automation Letters,Papers presented,Robotics,
2,IEEE International Conference on Robotics and Automation,2020,Metrically-Scaled Monocular SLAM using Learned Scale Factors,Scaled monocular slam using learned scale factors,AI,
3,IEEE International Conference on Robotics and Automation,2020,Inertial-Only Optimization for Visual-Inertial Initialization,Inertial initialization,Optimization,
4,IEEE International Conference on Robotics and Automation,2020,Hierarchical Quadtree Feature Optical Flow Tracking Based Sparse Pose-Graph Visual-Inertial SLAM,Hierarchical quadtree feature optical flow tracking based sparse pose,Electronics,
5,IEEE International Conference on Robotics and Automation,2020,Keypoint Description by Descriptor Fusion Using Autoencoders,Descriptor fusion using autoencoders,Dynamics,
6,IEEE International Conference on Robotics and Automation,2020,Towards Noise Resilient SLAM,Towards noise resilient slam,Dynamics,
7,IEEE International Conference on Robotics and Automation,2020,LAMP: Large-Scale Autonomous Mapping and Positioning for Exploration of Perceptually-Degraded Subterranean Environments,Scale autonomous mapping,Dynamics,
8,IEEE International Conference on Robotics and Automation,2020,BayesOD: A Bayesian Approach for Uncertainty Estimation in Deep Object Detectors,Deep object detectors,AI,
9,IEEE International Conference on Robotics and Automation,2020,Learning Object Placements For Relational Instructions by Hallucinating Scene Representations,Learning object placements,AI,
10,IEEE International Conference on Robotics and Automation,2020,FADNet: A Fast and Accurate Network for Disparity Estimation,Disparity estimation,AI,
11,IEEE International Conference on Robotics and Automation,2020,Training Adversarial Agents to Exploit Weaknesses in Deep Control Policies,Training adversarial agents,AI,
12,IEEE International Conference on Robotics and Automation,2020,TRASS: Time Reversal as Self-Supervision,Time reversal,AI,
13,IEEE International Conference on Robotics and Automation,2020,Advanced BIT (ABIT): Sampling-Based Planning with Advanced Graph-Search Techniques,Abit ): sampling,Dynamics,
14,IEEE International Conference on Robotics and Automation,2020,Voxel-based General Voronoi Diagram for Complex Data with Application on Motion Planning,Based general voronoi diagram,Robotics,
15,IEEE International Conference on Robotics and Automation,2020,Dynamic Movement Primitives for moving goals with temporal scaling adaptation,Temporal scaling adaptation,Dynamics,
16,IEEE International Conference on Robotics and Automation,2020,Navigating Discrete Difference Equation Governed WMR by Virtual Linear Leader Guided HMPC,Navigating discrete difference equation governed wmr,Dynamics,
17,IEEE International Conference on Robotics and Automation,2020,Aggregation and localization of simple robots in curved environments,Simple robots,Robotics,
18,IEEE International Conference on Robotics and Automation,2020,Stable Control in Climbing and Descending Flight under Upper Walls using Ceiling Effect Model based on Aerodynamics,Upper walls using ceiling effect model based,Control,
19,IEEE International Conference on Robotics and Automation,2020,Motion Primitives-based Path Planning for Fast and Agile Exploration using Aerial Robots,Agile exploration using aerial robots,Robotics,
20,IEEE International Conference on Robotics and Automation,2020,Unsupervised Anomaly Detection for Self-flying Delivery Drones,Unsupervised anomaly detection,AI,
21,IEEE International Conference on Robotics and Automation,2020,Keyfilter-Aware Real-Time UAV Object Tracking,Time uav object tracking,Electronics,
22,IEEE International Conference on Robotics and Automation,2020,Aerial Regrasping: Pivoting with Transformable Multilink Aerial Robot,Transformable multilink aerial robot,Robotics,
23,IEEE International Conference on Robotics and Automation,2020,Grounding Language to Landmarks in Arbitrary Outdoor Environments,Arbitrary outdoor environments,Dynamics,
24,IEEE International Conference on Robotics and Automation,2020,Deep Merging: Vehicle Merging Controller Based on Deep Reinforcement Learning with Embedding Network,Vehicle merging controller based,AI,
25,IEEE International Conference on Robotics and Automation,2020,Radar as a Teacher: Weakly Supervised Vehicle Detection using Radar Labels,Weakly supervised vehicle detection using radar labels,AI,
26,IEEE International Conference on Robotics and Automation,2020,Robust Lane Detection with Binary Integer Optimization,Robust lane detection,Optimization,
27,IEEE International Conference on Robotics and Automation,2020,A Synchronization Approach for Achieving Cooperative Adaptive Cruise Control Based Non-Stop Intersection Passing,Achieving cooperative adaptive cruise control based non,Electronics,
28,IEEE International Conference on Robotics and Automation,2020,Urban Driving with Conditional Imitation Learning,Conditional imitation learning,AI,
29,IEEE International Conference on Robotics and Automation,2020,Vehicle Localization Based on Visual Lane Marking and Topological Map Matching,Visual lane marking,Vehicle dynamics,
30,IEEE International Conference on Robotics and Automation,2020,RISE: A Novel Indoor Visual Place Recogniser,Novel indoor visual place recogniser,AI,
31,IEEE International Conference on Robotics and Automation,2020,Beyond Photometric Consistency: Gradient-based Dissimilarity for Improving Visual Odometry and Stereo Matching,Improving visual odometry,Dynamics,
32,IEEE International Conference on Robotics and Automation,2020,ICS: Incremental Constrained Smoothing for State Estimation,Incremental constrained smoothing,Vehicle dynamics,
33,IEEE International Conference on Robotics and Automation,2020,Drone-aided Localization in LoRa IoT Networks,Lora iot networks,AI,
34,IEEE International Conference on Robotics and Automation,2020,A fast and practical method of indoor localization for resource-constrained devices with limited sensing,Practical method,Vehicle dynamics,
35,IEEE International Conference on Robotics and Automation,2020,Long-Term Robot Navigation in Indoor Environments Estimating Patterns in Traversability Changes,Indoor environments estimating patterns,Robotics,
36,IEEE International Conference on Robotics and Automation,2020,Sample-and-computation-efficient Probabilistic Model Predictive Control with Random Features,Efficient probabilistic model predictive control,Uncertainty quantification,
37,IEEE International Conference on Robotics and Automation,2020,Sample-Efficient Robot Motion Learning using Gaussian Process Latent Variable Models,Efficient robot motion learning using gaussian process latent variable models,AI,
38,IEEE International Conference on Robotics and Automation,2020,Iterative Learning based feedforward control for Transition of a Biplane-Quadrotor Tailsitter UAS,Iterative learning based feedforward control,AI,
39,IEEE International Conference on Robotics and Automation,2020,Reinforcement Learning for Adaptive Illumination with X-rays,Reinforcement learning,AI,
40,IEEE International Conference on Robotics and Automation,2020,Efficient Updates for Data Association with Mixtures of Gaussian Processes,Gaussian processes,Dynamics,
41,IEEE International Conference on Robotics and Automation,2020,Real-time Data Driven Precision Estimator for RAVEN-II Surgical Robot End Effector Position,Ii surgical robot end effector position,Robotics,
42,IEEE International Conference on Robotics and Automation,2020,Temporal Segmentation of Surgical Sub-tasks through Deep Learning with Multiple Data Sources,Multiple data sources,AI,
43,IEEE International Conference on Robotics and Automation,2020,Controlling Assistive Robots with Learned Latent Actions,Learned latent actions,AI,
44,IEEE International Conference on Robotics and Automation,2020,On the efficient control of series-parallel compliant articulated robots,Parallel compliant articulated robots,Robotics,
45,IEEE International Conference on Robotics and Automation,2020,Preintegrated Velocity Bias Estimation to Overcome Contact Nonlinearities in Legged Robot Odometry,Preintegrated velocity bias estimation,Robotics,
46,IEEE International Conference on Robotics and Automation,2020,Optimized Foothold Planning and Posture Searching for Energy-Efficient Quadruped Locomotion over Challenging Terrains,Optimized foothold planning,Robotics,
47,IEEE International Conference on Robotics and Automation,2020,Extracting Legged Locomotion Heuristics with Regularized Predictive Control,Extracting legged locomotion heuristics,Robotics,
