,Conference,Year,Title,Novelty,Domain,Note
1,IEEE International Conference on Robotics and Automation,2020,Index of papers presented at ICRA 2020 and published in the IEEE Robotics and Automation Letters,,,
2,IEEE International Conference on Robotics and Automation,2020,Metrically-Scaled Monocular SLAM using Learned Scale Factors,,,
3,IEEE International Conference on Robotics and Automation,2020,Inertial-Only Optimization for Visual-Inertial Initialization,,,
4,IEEE International Conference on Robotics and Automation,2020,Hierarchical Quadtree Feature Optical Flow Tracking Based Sparse Pose-Graph Visual-Inertial SLAM,,,
5,IEEE International Conference on Robotics and Automation,2020,Keypoint Description by Descriptor Fusion Using Autoencoders,,,
6,IEEE International Conference on Robotics and Automation,2020,Towards Noise Resilient SLAM,,,
7,IEEE International Conference on Robotics and Automation,2020,LAMP: Large-Scale Autonomous Mapping and Positioning for Exploration of Perceptually-Degraded Subterranean Environments,,,
8,IEEE International Conference on Robotics and Automation,2020,BayesOD: A Bayesian Approach for Uncertainty Estimation in Deep Object Detectors,,,
9,IEEE International Conference on Robotics and Automation,2020,Learning Object Placements For Relational Instructions by Hallucinating Scene Representations,,,
10,IEEE International Conference on Robotics and Automation,2020,FADNet: A Fast and Accurate Network for Disparity Estimation,,,
11,IEEE International Conference on Robotics and Automation,2020,Training Adversarial Agents to Exploit Weaknesses in Deep Control Policies,,,
12,IEEE International Conference on Robotics and Automation,2020,TRASS: Time Reversal as Self-Supervision,,,
13,IEEE International Conference on Robotics and Automation,2020,Advanced BIT (ABIT): Sampling-Based Planning with Advanced Graph-Search Techniques,,,
14,IEEE International Conference on Robotics and Automation,2020,Voxel-based General Voronoi Diagram for Complex Data with Application on Motion Planning,,,
15,IEEE International Conference on Robotics and Automation,2020,Dynamic Movement Primitives for moving goals with temporal scaling adaptation,,,
16,IEEE International Conference on Robotics and Automation,2020,Navigating Discrete Difference Equation Governed WMR by Virtual Linear Leader Guided HMPC,,,
17,IEEE International Conference on Robotics and Automation,2020,Aggregation and localization of simple robots in curved environments,,,
18,IEEE International Conference on Robotics and Automation,2020,Stable Control in Climbing and Descending Flight under Upper Walls using Ceiling Effect Model based on Aerodynamics,,,
19,IEEE International Conference on Robotics and Automation,2020,Motion Primitives-based Path Planning for Fast and Agile Exploration using Aerial Robots,,,
20,IEEE International Conference on Robotics and Automation,2020,Unsupervised Anomaly Detection for Self-flying Delivery Drones,,,
21,IEEE International Conference on Robotics and Automation,2020,Keyfilter-Aware Real-Time UAV Object Tracking,,,
22,IEEE International Conference on Robotics and Automation,2020,Aerial Regrasping: Pivoting with Transformable Multilink Aerial Robot,,,
23,IEEE International Conference on Robotics and Automation,2020,Grounding Language to Landmarks in Arbitrary Outdoor Environments,,,
24,IEEE International Conference on Robotics and Automation,2020,Deep Merging: Vehicle Merging Controller Based on Deep Reinforcement Learning with Embedding Network,,,
25,IEEE International Conference on Robotics and Automation,2020,Radar as a Teacher: Weakly Supervised Vehicle Detection using Radar Labels,,,
26,IEEE International Conference on Robotics and Automation,2020,Robust Lane Detection with Binary Integer Optimization,,,
27,IEEE International Conference on Robotics and Automation,2020,A Synchronization Approach for Achieving Cooperative Adaptive Cruise Control Based Non-Stop Intersection Passing,,,
28,IEEE International Conference on Robotics and Automation,2020,Urban Driving with Conditional Imitation Learning,,,
29,IEEE International Conference on Robotics and Automation,2020,Vehicle Localization Based on Visual Lane Marking and Topological Map Matching,,,
30,IEEE International Conference on Robotics and Automation,2020,RISE: A Novel Indoor Visual Place Recogniser,,,
31,IEEE International Conference on Robotics and Automation,2020,Beyond Photometric Consistency: Gradient-based Dissimilarity for Improving Visual Odometry and Stereo Matching,,,
32,IEEE International Conference on Robotics and Automation,2020,ICS: Incremental Constrained Smoothing for State Estimation,,,
33,IEEE International Conference on Robotics and Automation,2020,Drone-aided Localization in LoRa IoT Networks,,,
34,IEEE International Conference on Robotics and Automation,2020,A fast and practical method of indoor localization for resource-constrained devices with limited sensing,,,
